Handle,Title,Body,Vendor,Type,Tags,Published,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Variant sku,Variant grams,Variant inventory tracker,Variant inventory policy,Variant inventory quantity,Variant fullfilment service,Variant price,Variant compare at price,Variant requires shipping,Variant taxable,Variant barcode,Image src,Image alt text,Gift card
heavy-duty-concrete-lamp,Heavy Duty Concrete Lamp,Iridescence furtive comprehension gibbering fungus eldritch mortal. Now Look What You've Made Me Do. Offal shoreditch pour-over synth bushwick pork belly skateboard. Experiencing A Significant Gravitas Shortfall.,Zieme-Schultz,Videos,"Computers,Home,Games",TRUE,Color,brown,,,,,,811,,deny,39,manual,25.74,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Peace Makes Plenty,FALSE
heavy-duty-concrete-lamp,,,,,,,Color,lilac,,,,,heavy-duty-concrete-lamp-lilac,674,,deny,11,manual,25.74,,TRUE,TRUE,,,,
heavy-duty-concrete-lamp,,,,,,,Color,carmine,,,,,heavy-duty-concrete-lamp-carmine,426,,deny,11,manual,25.74,,TRUE,TRUE,,,,
small-linen-pants,Small Linen Pants,Gibbering antediluvian unmentionable accursed charnel amorphous shunned spectral tentacles. Displacement Activity. Bad For Business. Listicle whatever polaroid loko.,"Ledner, Ledner and Bauch",Videos,"Grocery,Jewelry,Industrial",TRUE,Color,turquoise,,,,,,32,,deny,29,manual,57.21,,TRUE,TRUE,,https://source.unsplash.com/random/?interior ,Ultimate Ship The Second,FALSE
small-linen-pants,,,,,,,Color,bronze,,,,,small-linen-pants-bronze,262,,deny,46,manual,57.21,,TRUE,TRUE,,,,
small-linen-pants,,,,,,,Color,ruby,,,,,small-linen-pants-ruby,349,,deny,43,manual,57.21,,TRUE,TRUE,,,,
aerodynamic-marble-gloves,Aerodynamic Marble Gloves,Injury Time. Halation Effect. Williamsburg health aesthetic put a bird on it. Mortal antediluvian squamous comprehension effulgence non-euclidean cyclopean.,"Stehr, Simonis and Bradtke",Videos,"Industrial,Tools,Kids",TRUE,Color,byzantium,,,,,,834,,deny,30,manual,81.59,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Steely Glint,FALSE
aerodynamic-marble-gloves,,,,,,,Color,cyan,,,,,aerodynamic-marble-gloves-cyan,451,,deny,4,manual,81.59,,TRUE,TRUE,,,,
aerodynamic-marble-gloves,,,,,,,Color,aquamarine,,,,,aerodynamic-marble-gloves-aquamarine,260,,deny,26,manual,81.59,,TRUE,TRUE,,,,
mediocre-iron-shoes,Mediocre Iron Shoes,Different Tan. Madness unutterable fungus iridescence unnamable mortal loathsome. Literally stumptown meh pop-up williamsburg. Hand Me The Gun And Ask Me Again.,"Jakubowski, Breitenberg and Schinner",Books,"Outdoors,Kids,Clothing",TRUE,Color,viridian,,,,,,362,,deny,10,manual,41.38,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,What Are The Civilian Applications?,FALSE
mediocre-iron-shoes,,,,,,,Color,lemon,,,,,mediocre-iron-shoes-lemon,259,,deny,9,manual,41.38,,TRUE,TRUE,,,,
mediocre-iron-shoes,,,,,,,Color,aquamarine,,,,,mediocre-iron-shoes-aquamarine,110,,deny,23,manual,41.38,,TRUE,TRUE,,,,
practical-silk-keyboard,Practical Silk Keyboard,Well I Was In The Neighbourhood. Tenebrous fainted loathsome stygian. Lasting Damage. Artisan banjo iphone 3 wolf moon salvia.,Wisoky-Cormier,Videos,"Outdoors,Home,Kids",TRUE,Color,apricot,,,,,,521,,deny,11,manual,3.88,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Zero Credibility,FALSE
practical-silk-keyboard,,,,,,,Color,emerald,,,,,practical-silk-keyboard-emerald,126,,deny,42,manual,3.88,,TRUE,TRUE,,,,
practical-silk-keyboard,,,,,,,Color,puce,,,,,practical-silk-keyboard-puce,927,,deny,28,manual,3.88,,TRUE,TRUE,,,,
durable-plastic-shirt,Durable Plastic Shirt,Street meggings stumptown taxidermy. Reasonable Excuse. Amorphous stench unutterable cat eldritch noisome hideous. Liveware Problem.,Wunsch-Koelpin,Videos,"Kids,Kids,Industrial",TRUE,Color,burgundy,,,,,,911,,deny,24,manual,45.86,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,"I Said, I've Got A Big Stick",FALSE
durable-plastic-shirt,,,,,,,Color,chocolate,,,,,durable-plastic-shirt-chocolate,401,,deny,9,manual,45.86,,TRUE,TRUE,,,,
durable-plastic-shirt,,,,,,,Color,grey,,,,,durable-plastic-shirt-grey,908,,deny,48,manual,45.86,,TRUE,TRUE,,,,
lightweight-wooden-knife,Lightweight Wooden Knife,Yolo blog mixtape shoreditch sriracha 3 wolf moon keffiyeh distillery. Just Read The Instructions. Gibbering hideous singular noisome. I Blame Your Mother.,Christiansen-Watsica,Videos,"Home,Movies,Movies",TRUE,Color,salmon,,,,,,718,,deny,2,manual,64.94,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Questionable Ethics,FALSE
lightweight-wooden-knife,,,,,,,Color,champagne,,,,,lightweight-wooden-knife-champagne,373,,deny,21,manual,64.94,,TRUE,TRUE,,,,
lightweight-wooden-knife,,,,,,,Color,chocolate,,,,,lightweight-wooden-knife-chocolate,539,,deny,7,manual,64.94,,TRUE,TRUE,,,,
heavy-duty-marble-clock,Heavy Duty Marble Clock,Just Passing Through. Chillwave viral locavore heirloom paleo cornhole. Limiting Factor. Immemorial comprehension gibbering stench iridescence cat fainted shunned lurk.,Hilll-Hodkiewicz,Books,"Kids,Electronics,Home",TRUE,Color,ivory,,,,,,405,,deny,45,manual,16.09,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Attitude Adjuster,FALSE
heavy-duty-marble-clock,,,,,,,Color,burgundy,,,,,heavy-duty-marble-clock-burgundy,959,,deny,11,manual,16.09,,TRUE,TRUE,,,,
heavy-duty-marble-clock,,,,,,,Color,copper,,,,,heavy-duty-marble-clock-copper,941,,deny,8,manual,16.09,,TRUE,TRUE,,,,
durable-steel-computer,Durable Steel Computer,Next level intelligentsia muggle magic cronut pickled cray mlkshk. Another Fine Product From The Nonsense Factory. Excuses And Accusations. Immemorial foetid non-euclidean noisome dank fainted decadent cyclopean.,Adams-Koelpin,Books,"Grocery,Toys,Movies",TRUE,Color,cyan,,,,,,406,,deny,41,manual,65.22,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Screw Loose,FALSE
durable-steel-computer,,,,,,,Color,violet,,,,,durable-steel-computer-violet,507,,deny,38,manual,65.22,,TRUE,TRUE,,,,
durable-steel-computer,,,,,,,Color,fuchsia,,,,,durable-steel-computer-fuchsia,561,,deny,26,manual,65.22,,TRUE,TRUE,,,,
awesome-cotton-knife,Awesome Cotton Knife,MBU 604. Viral marfa slow-carb pork belly +1 polaroid drinking kitsch. You Call This Clean?. Gibbous effulgence unutterable antediluvian cyclopean comprehension.,Kiehn and Sons,Videos,"Toys,Health,Electronics",TRUE,Color,gray,,,,,,472,,deny,16,manual,67.47,,TRUE,TRUE,,https://source.unsplash.com/random/?interior ,Jaundiced Outlook,FALSE
awesome-cotton-knife,,,,,,,Color,puce,,,,,awesome-cotton-knife-puce,133,,deny,11,manual,67.47,,TRUE,TRUE,,,,
awesome-cotton-knife,,,,,,,Color,beige,,,,,awesome-cotton-knife-beige,123,,deny,10,manual,67.47,,TRUE,TRUE,,,,
synergistic-cotton-shoes,Synergistic Cotton Shoes,"Stench daemoniac immemorial comprehension noisome nameless. Venmo flannel loko five dollar toast umami poutine. All The Same, I Saw It First. Displacement Activity.",Bahringer-Sawayn,Books,"Clothing,Movies,Toys",TRUE,Color,pink,,,,,,126,,deny,42,manual,26.01,,TRUE,TRUE,,https://source.unsplash.com/random/?product ,Germane Riposte,FALSE
synergistic-cotton-shoes,,,,,,,Color,yellow,,,,,synergistic-cotton-shoes-yellow,548,,deny,49,manual,26.01,,TRUE,TRUE,,,,
synergistic-cotton-shoes,,,,,,,Color,lime,,,,,synergistic-cotton-shoes-lime,841,,deny,15,manual,26.01,,TRUE,TRUE,,,,
heavy-duty-paper-gloves,Heavy Duty Paper Gloves,Eldritch cyclopean effulgence ululate stench comprehension tentacles accursed. Ethical cred pork belly readymade art party pabst. Death And Gravity. In One Ear.,"Herzog, Pfannerstill and Flatley",Books,"Industrial,Baby,Shoes",TRUE,Color,taupe,,,,,,387,,deny,27,manual,29.54,,TRUE,TRUE,,https://source.unsplash.com/random/?product ,Demented But Determined,FALSE
heavy-duty-paper-gloves,,,,,,,Color,chocolate,,,,,heavy-duty-paper-gloves-chocolate,753,,deny,25,manual,29.54,,TRUE,TRUE,,,,
heavy-duty-paper-gloves,,,,,,,Color,grey,,,,,heavy-duty-paper-gloves-grey,317,,deny,9,manual,29.54,,TRUE,TRUE,,,,
fantastic-linen-pants,Fantastic Linen Pants,Goth pickled franzen before they sold out polaroid banh mi bushwick portland. Non-euclidean stygian tentacles iridescence unutterable spectral gibbering eldritch shunned. Reasonable Excuse. Tactical Grace.,Schmitt-Rath,Books,"Computers,Games,Health",TRUE,Color,cerise,,,,,,518,,deny,49,manual,69.68,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Determinist,FALSE
fantastic-linen-pants,,,,,,,Color,lemon,,,,,fantastic-linen-pants-lemon,209,,deny,48,manual,69.68,,TRUE,TRUE,,,,
fantastic-linen-pants,,,,,,,Color,orchid,,,,,fantastic-linen-pants-orchid,104,,deny,18,manual,69.68,,TRUE,TRUE,,,,
awesome-bronze-clock,Awesome Bronze Clock,Unutterable cat antiquarian amorphous cyclopean ululate madness unmentionable. Sacrificial Victim. I Blame The Parents. Seitan flannel church-key venmo mustache helvetica viral lomo.,Koepp Inc,Books,"Books,Home,Music",TRUE,Color,harlequin,,,,,,831,,deny,49,manual,30.42,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Kiss This Then,FALSE
awesome-bronze-clock,,,,,,,Color,magenta,,,,,awesome-bronze-clock-magenta,130,,deny,29,manual,30.42,,TRUE,TRUE,,,,
awesome-bronze-clock,,,,,,,Color,puce,,,,,awesome-bronze-clock-puce,623,,deny,12,manual,30.42,,TRUE,TRUE,,,,
fantastic-cotton-chair,Fantastic Cotton Chair,The Precise Nature Of The Catastrophe. Tenebrous decadent iridescence mortal manuscript squamous spectral nameless. Boo!. Wolf banjo beard crucifix taxidermy letterpress bitters normcore park.,Dicki-Rice,Videos,"Clothing,Garden,Music",TRUE,Color,amber,,,,,,105,,deny,15,manual,21.74,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Subtle Shift In Emphasis,FALSE
fantastic-cotton-chair,,,,,,,Color,blush,,,,,fantastic-cotton-chair-blush,279,,deny,47,manual,21.74,,TRUE,TRUE,,,,
fantastic-cotton-chair,,,,,,,Color,plum,,,,,fantastic-cotton-chair-plum,633,,deny,18,manual,21.74,,TRUE,TRUE,,,,
ergonomic-granite-coat,Ergonomic Granite Coat,Profit Margin. Antiquarian unutterable iridescence effulgence. Eight Rounds Rapid. Fingerstache cardigan cronut hoodie hammock cliche fashion axe actually.,Quitzon-Funk,Books,"Garden,Outdoors,Grocery",TRUE,Color,coral,,,,,,891,,deny,7,manual,35.04,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Revisionist,FALSE
ergonomic-granite-coat,,,,,,,Color,erin,,,,,ergonomic-granite-coat-erin,203,,deny,14,manual,35.04,,TRUE,TRUE,,,,
ergonomic-granite-coat,,,,,,,Color,raspberry,,,,,ergonomic-granite-coat-raspberry,213,,deny,42,manual,35.04,,TRUE,TRUE,,,,
synergistic-iron-bench,Synergistic Iron Bench,Eldritch shunned cyclopean unutterable furtive immemorial loathsome daemoniac iridescence. Another Fine Product From The Nonsense Factory. Vulgarian. Hammock bicycle rights flannel try-hard kickstarter.,"DuBuque, Schroeder and Carroll",PDFs,"Movies,Garden,Health",TRUE,Color,maroon,,,,,,355,,deny,5,manual,46.04,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Well I Was In The Neighbourhood,FALSE
synergistic-iron-bench,,,,,,,Color,pink,,,,,synergistic-iron-bench-pink,684,,deny,46,manual,46.04,,TRUE,TRUE,,,,
synergistic-iron-bench,,,,,,,Color,burgundy,,,,,synergistic-iron-bench-burgundy,184,,deny,29,manual,46.04,,TRUE,TRUE,,,,
durable-concrete-shoes,Durable Concrete Shoes,Williamsburg paleo street freegan fixie. Immemorial foetid stench lurk. We Haven't Met But You're A Great Fan Of Mine. Pure Big Mad Boat Man.,"Miller, Beatty and Miller",Books,"Health,Games,Games",TRUE,Color,salmon,,,,,,624,,deny,19,manual,62.66,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Bad For Business,FALSE
durable-concrete-shoes,,,,,,,Color,lilac,,,,,durable-concrete-shoes-lilac,422,,deny,42,manual,62.66,,TRUE,TRUE,,,,
durable-concrete-shoes,,,,,,,Color,cerulean,,,,,durable-concrete-shoes-cerulean,710,,deny,14,manual,62.66,,TRUE,TRUE,,,,
gorgeous-plastic-shoes,Gorgeous Plastic Shoes,Beastly To The Animals. Chambray plaid cliche neutra sartorial thundercats offal. Displacement Activity. Indescribable lurk antiquarian foetid cat.,Kreiger-Smitham,Books,"Garden,Industrial,Automotive",TRUE,Color,amaranth,,,,,,908,,deny,21,manual,65.2,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Headcrash,FALSE
gorgeous-plastic-shoes,,,,,,,Color,lilac,,,,,gorgeous-plastic-shoes-lilac,40,,deny,39,manual,65.2,,TRUE,TRUE,,,,
gorgeous-plastic-shoes,,,,,,,Color,indigo,,,,,gorgeous-plastic-shoes-indigo,883,,deny,45,manual,65.2,,TRUE,TRUE,,,,
durable-marble-wallet,Durable Marble Wallet,"All The Same, I Saw It First. Awkward Customer. Charnel shunned fainted gambrel singular tentacles dank stygian. Disrupt twee bespoke goth.","Mayert, Roob and Lueilwitz",PDFs,"Books,Kids,Books",TRUE,Color,cyan,,,,,,820,,deny,47,manual,71.3,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Misophist,FALSE
durable-marble-wallet,,,,,,,Color,aquamarine,,,,,durable-marble-wallet-aquamarine,740,,deny,17,manual,71.3,,TRUE,TRUE,,,,
durable-marble-wallet,,,,,,,Color,chocolate,,,,,durable-marble-wallet-chocolate,368,,deny,22,manual,71.3,,TRUE,TRUE,,,,
synergistic-wooden-knife,Synergistic Wooden Knife,Literally venmo cronut fashion axe paleo. Eldritch daemoniac fainted nameless gambrel effulgence amorphous. Subtle Shift In Emphasis. Nuisance Value.,Oberbrunner-Hauck,Books,"Toys,Outdoors,Industrial",TRUE,Color,rose,,,,,,20,,deny,21,manual,53.01,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Happy Idiot Talk,FALSE
synergistic-wooden-knife,,,,,,,Color,burgundy,,,,,synergistic-wooden-knife-burgundy,326,,deny,28,manual,53.01,,TRUE,TRUE,,,,
synergistic-wooden-knife,,,,,,,Color,harlequin,,,,,synergistic-wooden-knife-harlequin,985,,deny,50,manual,53.01,,TRUE,TRUE,,,,
rustic-plastic-bottle,Rustic Plastic Bottle,Gibbering decadent antiquarian unutterable foetid. Poutine kogi migas taxidermy meh goth. Trade Surplus. What Are The Civilian Applications?.,Schuppe-Fahey,PDFs,"Industrial,Electronics,Kids",TRUE,Color,blue,,,,,,590,,deny,18,manual,58.51,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Meatfucker,FALSE
rustic-plastic-bottle,,,,,,,Color,bronze,,,,,rustic-plastic-bottle-bronze,50,,deny,18,manual,58.51,,TRUE,TRUE,,,,
rustic-plastic-bottle,,,,,,,Color,orange,,,,,rustic-plastic-bottle-orange,459,,deny,35,manual,58.51,,TRUE,TRUE,,,,
sleek-bronze-table,Sleek Bronze Table,Big Sexy Beast. Just Passing Through. Cred everyday tilde poutine tote bag vinegar vhs portland. Gibbering cyclopean eldritch daemoniac charnel lurk.,Tillman Group,Books,"Music,Kids,Electronics",TRUE,Color,cerise,,,,,,876,,deny,45,manual,94.66,,TRUE,TRUE,,https://source.unsplash.com/random/?interior ,"Bodhisattva , OAQS",FALSE
sleek-bronze-table,,,,,,,Color,ivory,,,,,sleek-bronze-table-ivory,627,,deny,2,manual,94.66,,TRUE,TRUE,,,,
sleek-bronze-table,,,,,,,Color,turquoise,,,,,sleek-bronze-table-turquoise,682,,deny,44,manual,94.66,,TRUE,TRUE,,,,
practical-wool-shirt,Practical Wool Shirt,"Eschatologist. Indescribable mortal antiquarian non-euclidean. Anticipation Of A New Lover's Arrival, The. Art party forage kombucha quinoa poutine bitters wayfarers slow-carb crucifix.",Dickinson-Fay,PDFs,"Clothing,Home,Jewelry",TRUE,Color,amethyst,,,,,,317,,deny,48,manual,61.42,,TRUE,TRUE,,https://source.unsplash.com/random/?product ,Zoologist,FALSE
practical-wool-shirt,,,,,,,Color,purple,,,,,practical-wool-shirt-purple,656,,deny,6,manual,61.42,,TRUE,TRUE,,,,
practical-wool-shirt,,,,,,,Color,apricot,,,,,practical-wool-shirt-apricot,477,,deny,13,manual,61.42,,TRUE,TRUE,,,,
enormous-rubber-gloves,Enormous Rubber Gloves,Now We Try It My Way. Just Passing Through. 90's church-key bespoke banh mi sriracha flexitarian tote bag messenger bag. Antediluvian madness cat squamous gambrel ululate.,Goldner-Turner,Books,"Games,Garden,Garden",TRUE,Color,purple,,,,,,783,,deny,16,manual,46.22,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Beastly To The Animals,FALSE
enormous-rubber-gloves,,,,,,,Color,rose,,,,,enormous-rubber-gloves-rose,701,,deny,5,manual,46.22,,TRUE,TRUE,,,,
enormous-rubber-gloves,,,,,,,Color,violet,,,,,enormous-rubber-gloves-violet,353,,deny,45,manual,46.22,,TRUE,TRUE,,,,
small-iron-bottle,Small Iron Bottle,"Cyclopean tenebrous amorphous foetid. Sense Amid Madness, Wit Amidst Folly. Not Invented Here. Bushwick gentrify muggle magic raw denim bitters humblebrag fingerstache.",Rolfson-Okuneva,Videos,"Home,Clothing,Electronics",TRUE,Color,carmine,,,,,,705,,deny,50,manual,63.89,,TRUE,TRUE,,https://source.unsplash.com/random/?interior ,Transient Atmospheric Phenomenon,FALSE
small-iron-bottle,,,,,,,Color,scarlet,,,,,small-iron-bottle-scarlet,841,,deny,10,manual,63.89,,TRUE,TRUE,,,,
small-iron-bottle,,,,,,,Color,crimson,,,,,small-iron-bottle-crimson,988,,deny,39,manual,63.89,,TRUE,TRUE,,,,
ergonomic-silk-shoes,Ergonomic Silk Shoes,Amorphous tentacles stygian singular gibbous indescribable. Shoot Them Later. Minority Report. Marfa fashion axe ennui shabby chic.,Leuschke-Zieme,PDFs,"Electronics,Shoes,Health",TRUE,Color,jade,,,,,,157,,deny,38,manual,51.06,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Zero Credibility,FALSE
ergonomic-silk-shoes,,,,,,,Color,olive,,,,,ergonomic-silk-shoes-olive,541,,deny,37,manual,51.06,,TRUE,TRUE,,,,
ergonomic-silk-shoes,,,,,,,Color,pear,,,,,ergonomic-silk-shoes-pear,508,,deny,11,manual,51.06,,TRUE,TRUE,,,,
durable-marble-lamp,Durable Marble Lamp,Helpless In The Face Of Your Beauty. Furtive hideous stench antediluvian eldritch stygian amorphous fainted swarthy. Hammock mixtape pabst wolf truffaut. Uninvited Guest.,Jacobs Group,Videos,"Health,Health,Games",TRUE,Color,byzantium,,,,,,859,,deny,16,manual,92.76,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,So Much For Subtlety,FALSE
durable-marble-lamp,,,,,,,Color,taupe,,,,,durable-marble-lamp-taupe,90,,deny,18,manual,92.76,,TRUE,TRUE,,,,
durable-marble-lamp,,,,,,,Color,raspberry,,,,,durable-marble-lamp-raspberry,265,,deny,41,manual,92.76,,TRUE,TRUE,,,,
small-concrete-plate,Small Concrete Plate,Mortal gambrel antiquarian manuscript tenebrous spectral dank. Now We Try It My Way. Irony narwhal ramps fixie brunch leggings cred direct trade sustainable. Outstanding Contribution To The Historical Process.,Mohr-Upton,PDFs,"Health,Music,Home",TRUE,Color,salmon,,,,,,966,,deny,18,manual,26.55,,TRUE,TRUE,,https://source.unsplash.com/random/?interior ,Reformed Nice Guy,FALSE
small-concrete-plate,,,,,,,Color,viridian,,,,,small-concrete-plate-viridian,990,,deny,14,manual,26.55,,TRUE,TRUE,,,,
small-concrete-plate,,,,,,,Color,byzantium,,,,,small-concrete-plate-byzantium,393,,deny,14,manual,26.55,,TRUE,TRUE,,,,
practical-silk-bag,Practical Silk Bag,"Anticipation Of A New Lover's Arrival, The. I Blame The Parents. Biodiesel tousled bitters wayfarers. Stygian charnel immemorial fainted.",Harber and Sons,PDFs,"Beauty,Computers,Tools",TRUE,Color,beige,,,,,,23,,deny,21,manual,5.2,,TRUE,TRUE,,https://source.unsplash.com/random/?product ,Headcrash,FALSE
practical-silk-bag,,,,,,,Color,blush,,,,,practical-silk-bag-blush,200,,deny,22,manual,5.2,,TRUE,TRUE,,,,
practical-silk-bag,,,,,,,Color,viridian,,,,,practical-silk-bag-viridian,448,,deny,3,manual,5.2,,TRUE,TRUE,,,,
enormous-wooden-car,Enormous Wooden Car,Undesirable Alien. Twee cronut ethical shoreditch shabby chic hella cred. A Ship With A View. Spectral foetid manuscript antediluvian tenebrous unutterable cyclopean swarthy stench.,Kilback and Sons,Books,"Beauty,Shoes,Beauty",TRUE,Color,white,,,,,,497,,deny,2,manual,65.6,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Qualifier,FALSE
enormous-wooden-car,,,,,,,Color,green,,,,,enormous-wooden-car-green,26,,deny,8,manual,65.6,,TRUE,TRUE,,,,
